"chamber","Date","campaign","T_treatment","HHMMSS","FTime","Ebal","Code","Tofit","Photo","Cond","Ci","Trmmol","VpdL","CTleaf","Area","BLC_1","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","PARi","PARo","Press","CsMch","HsMch","StableF","BLCslope","BLCoffst","f_parin","f_parout","alphaK","Status","fda","Trans","Tair_K","Twall_K","R.W.m2.","Tl.Ta","SVTleaf","h2o_i","h20diff","CTair","SVTair","CndTotal","vp_kPa","VpdA","CndCO2","Ci_Pa","Ci.Ca","RHsfc","C2sfc","AHs.Cs"
"C01","2013-07-05",1,"ambient","10:12:24",2494.5,0,1,1,20.55868729,0.300266285,271.5929233,2.303289408,0.831557197,24.85810852,6,1.420000017,1,2.840000033,23.40451431,24.85810852,22.92277527,421.2662659,395.5238953,20.33622551,23.03427887,70.92639923,80.33636475,500.4129639,1801.366821,579.4557495,100.7768173,2.413990259,0.139125794,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834021606,0.002303289,298.0081085,296.5545143,288.218685,2.016607868,3.15287851,31.28575196,8.251473094,24.13131142,3.018680071,0.271555395,2.321321314,0.697358757,0.172087481,27.37027042,0.686666284,75.48141844,385.7512799,0.040227964
"C01","2013-07-05",1,"ambient","10:14:29",2620.5,0,1,1,29.01392689,0.291260819,433.4842281,2.295903766,0.852105959,24.92826271,6,1.420000017,1,2.840000033,23.54122162,24.92826271,23.11866188,650.5278931,614.0502319,20.270401,22.95995712,70.12138367,79.42536163,500.4223328,1799.31311,581.6434326,100.7840652,1.668445826,0.141946763,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834037221,0.002295904,298.0782627,296.6912216,287.8900912,2.025114398,3.166103775,31.41472581,8.454768683,24.23474216,3.037467712,0.264168581,2.313997817,0.723469895,0.167342941,43.68830273,0.705942618,74.90782313,600.2584007,0.036207242
"C01","2013-07-05",1,"ambient","10:16:35",2745.5,0,1,1,32.63887853,0.27127551,737.9771621,2.186275824,0.865542532,25.03236961,6,1.420000017,1,2.840000033,23.58660889,25.03236961,23.11551094,999.7047729,958.0574951,20.46060753,23.02171898,70.58766937,79.42331696,500.3946228,1798.739624,566.2216797,100.7864151,0.052173853,0.147678345,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833991038,0.002186276,298.1823696,296.7366089,287.7983334,2.072983514,3.185819058,31.60960785,8.587888869,24.30948925,3.051108674,0.247622702,2.320276525,0.730832148,0.156728581,74.37807259,0.770284838,74.50381184,942.5425354,0.025799588
"C01","2013-07-05",1,"ambient","10:18:40",2870.5,0,1,1,33.56635454,0.251897285,913.7225569,2.093924791,0.88715405,25.1127224,6,1.420000017,1,2.840000033,23.61190605,25.1127224,23.11406517,1201.095215,1157.944458,20.50612831,22.95896339,70.63706207,79.08629608,500.4454956,1800.110596,565.2756958,100.7865677,-1.070384741,0.155666322,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834075826,0.002093925,298.2627224,296.7619061,288.0176889,2.116092907,3.201109168,31.76126781,8.802304414,24.36231422,3.06078123,0.23137518,2.313955118,0.746826112,0.146323126,92.09096033,0.789090142,73.82782821,1141.988621,0.021700138
"C01","2013-07-05",1,"ambient","10:20:34",2984.5,0,1,1,33.25750976,0.240228443,1199.160045,2.049241117,0.907095223,25.08320236,6,1.420000017,1,2.840000033,23.59824944,25.08320236,23.11165237,1499.598511,1456.142212,20.30410767,22.70551109,69.99809265,78.27689362,500.3854065,1800.351196,571.4164429,100.7856293,-3.127513647,0.166461915,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833975677,0.002049241,298.2332024,296.7482494,288.056185,2.142152551,3.195484446,31.70575477,9.000243681,24.3407259,3.05682505,0.221492916,2.288389223,0.768435826,0.14000266,120.8580997,0.823518496,73.09515228,1440.333185,0.016877781
"C01","2013-07-05",1,"ambient","10:22:30",3101,0,1,1,33.13395817,0.226844903,1482.106578,2.005207119,0.936115616,25.04865456,6,1.420000017,1,2.840000033,23.57528496,25.04865456,23.11684799,1800.209595,1756.26001,20.00124741,22.35172462,69.05144501,77.1661377,500.4227905,1801.160522,576.965271,100.7885132,-5.330516815,0.173891038,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834037984,0.002005207,298.1986546,296.725285,288.1856772,2.168405927,3.188912708,31.63964431,9.287919686,24.31196976,3.05156227,0.210065897,2.252797092,0.798765178,0.132702173,149.3793184,0.843899292,72.0617873,1740.509713,0.013718351
"C02","2013-07-05",1,"elevated","12:06:34",9345.5,0,2,0,19.68012019,0.217046993,236.3662842,2.029319312,0.987010228,25.10845184,6,1.420000017,1,2.840000033,22.90377045,25.10845184,21.53423309,420.5388794,395.9745789,19.58185577,21.96199608,70.3952713,78.95169067,500.3280029,1798.933594,1122.745972,100.7779388,2.918281555,0.155649155,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833880005,0.002029319,298.2584518,296.0537704,287.8293686,2.054070981,3.200294925,31.75590771,9.793911635,24.00611115,2.9960741,0.201636894,2.213284698,0.782789402,0.127322524,23.82050694,0.596922876,70.55767625,386.6195923,0.035916016
"C02","2013-07-05",1,"elevated","12:06:37",9347.5,0,2,0,19.6687813,0.217981836,237.0385954,2.037297857,0.986949694,25.1069355,6,1.420000017,1,2.840000033,22.90378189,25.1069355,21.53786469,420.4947205,395.9405518,19.570158,21.9596386,70.35345459,78.94348145,500.3328857,1799.035034,1125.48584,100.7783508,2.918281555,0.155649155,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833888143,0.002037298,298.2569355,296.0537819,287.845599,2.050306519,3.200005857,31.75290953,9.793270935,24.0053587,2.995938688,0.202443457,2.213056162,0.782882525,0.127837097,23.88835872,0.598672185,70.56590444,386.5909551,0.035902168
"C02","2013-07-05",1,"elevated","12:06:39",9349.5,0,2,0,19.70373774,0.218409288,236.9867658,2.041032863,0.98696315,25.10440254,6,1.420000017,1,2.840000033,22.90267754,25.10440254,21.54015923,420.4775696,395.8781738,19.56075668,21.95479393,70.32411194,78.93106842,500.298584,1799.028809,1127.762207,100.7779846,2.918281555,0.155649155,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833830973,0.002041033,298.2544025,296.0526775,287.8446029,2.048547457,3.199523035,31.74823397,9.793440044,24.00354004,2.99561142,0.20281209,2.212559885,0.783051535,0.128072292,23.88304864,0.598635594,70.56531979,386.5119606,0.035973028
"C02","2013-07-05",1,"elevated","12:06:40",9351.5,0,2,0,19.76173683,0.218864708,236.8629515,2.046302416,0.987592388,25.10578918,6,1.420000017,1,2.840000033,22.90213203,25.10578918,21.54026604,420.5796204,395.9083862,19.55113602,21.951334,70.29132843,78.92064667,500.3045654,1798.912598,1132.052368,100.7772446,2.918281555,0.155649155,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833840942,0.002046302,298.2557892,296.052132,287.8260092,2.045310579,3.199787343,31.75108981,9.799755809,24.00396061,2.995687099,0.203204728,2.212194955,0.783492144,0.128322813,23.8703956,0.598277177,70.5533806,386.514603,0.036072566
"C02","2013-07-05",1,"elevated","12:06:42",9353.5,0,2,0,19.74967117,0.219403031,237.3301399,2.052340337,0.988258282,25.1069622,6,1.420000017,1,2.840000033,22.90217972,25.1069622,21.54025841,420.5936279,395.9344788,19.53955269,21.9467907,70.24997711,78.90464783,500.3156433,1799.02417,1136.860107,100.7779541,2.918281555,0.155649155,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833859406,0.00205234,298.2569622,296.0521797,287.8438608,2.042212131,3.200010947,31.75308504,9.806294346,24.00457096,2.995796931,0.20366869,2.211752665,0.784044265,0.128618855,23.91764595,0.599417713,70.54080796,386.546431,0.036041149
"C02","2013-07-05",1,"elevated","12:08:28",9458.5,0,2,1,19.7112538,0.217501348,234.9874289,2.180535294,1.058095795,25.50328064,6,1.420000017,1,2.840000033,23.50451851,25.50328064,22.30964279,419.5517273,394.8804626,19.45313644,22.01057816,67.44125366,76.30754089,500.3141479,1799.223145,1195.724854,100.7810211,2.885444641,0.158908814,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833856913,0.002180535,298.6532806,296.6545185,287.8756967,2.000783551,3.276344336,32.50953702,10.49895886,24.50389957,3.08683865,0.202028963,2.218248542,0.868590108,0.127572652,23.68227303,0.595084972,69.16170323,385.5106766,0.035362546
"C02","2013-07-05",1,"elevated","12:09:58",9549,0,2,1,-0.529240978,0.214564419,54.46623049,2.080677561,1.022572552,25.33188057,6,1.420000017,1,2.840000033,22.92502975,25.33188057,21.31833267,50.62950897,51.13663483,19.59452057,22.03494644,70.34793091,79.1095047,500.2807007,1799.268433,1213.754395,100.7747421,2.552070618,0.148788422,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833801168,0.002080678,298.4818806,296.0750298,287.8829428,1.999790602,3.243138597,32.18205801,10.14711157,24.12845516,3.018162693,0.199492584,2.220566045,0.797596647,0.1259547,5.488820332,1.065111748,69.86763177,51.38821064,-0.007195583
"C02","2013-07-05",1,"elevated","12:11:28",9638.5,0,2,1,2.545566927,0.237832263,76.56073126,2.134662432,0.953846517,25.03984261,6,1.420000017,1,2.840000033,22.47358322,25.03984261,20.75029945,99.54272461,96.24359894,19.65987968,22.16311455,72.53937531,81.77559662,500.3170166,1799.622803,702.1553955,100.770668,2.876747131,0.148954362,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833861694,0.002134662,298.1898426,295.6235832,287.939642,1.952964565,3.187238376,31.62863201,9.465517457,23.75671291,2.951483832,0.219454333,2.233391859,0.718091973,0.138699626,7.715076034,0.795489073,71.62224526,95.03355834,0.01918472
"C02","2013-07-05",1,"elevated","12:12:59",9730,0,2,1,6.072021412,0.277259902,102.065198,2.312316626,0.897708286,24.89182091,6,1.420000017,1,2.840000033,22.39696121,24.89182091,20.76173401,149.4730988,141.7975159,19.72988319,22.44087601,73.14196014,83.19206238,500.2800903,1800.412598,1228.921143,100.7767944,3.047233582,0.151826829,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833800151,0.002312317,298.0418209,295.5469612,288.0660092,1.871945661,3.159227834,31.34876289,8.907886887,23.64439106,2.931591922,0.252599446,2.261519548,0.670072374,0.159919322,10.28580348,0.719795389,73.39643553,138.9111677,0.032082714
"C02","2013-07-05",1,"elevated","12:14:39",9829.5,0,2,1,11.43046771,0.326235917,151.3515025,2.559434466,0.857486019,24.88689423,6,1.420000017,1,2.840000033,22.49295807,24.88689423,20.96764565,229.8238068,215.4539948,19.83368683,22.83311081,73.09156036,84.14511108,500.2949829,1800.351563,1189.782471,100.7665253,3.204429626,0.154136628,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833824972,0.002559434,298.0368942,295.6429581,288.0562436,1.756039927,3.158299256,31.34274252,8.509631709,23.68992615,2.939641892,0.292621911,2.300813237,0.638828655,0.185638258,15.251165,0.702477123,74.96917025,210.0204978,0.040802335
"C02","2013-07-05",1,"elevated","12:16:10",9920.5,0,2,1,17.91907821,0.354345053,214.739508,2.694656221,0.83844277,24.90612793,6,1.420000017,1,2.840000033,22.52712631,24.90612793,20.96066856,330.2978516,307.8135681,19.90094757,23.05801582,73.18757629,84.79798126,500.3102722,1800.030884,1194.186523,100.7668228,3.330436707,0.143342942,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833850454,0.002694656,298.0561279,295.6771263,288.004935,1.686638309,3.161925765,31.37863909,8.320623266,23.71662712,2.944371239,0.315037961,2.323482995,0.620888244,0.200089355,21.63861795,0.697628468,75.76500754,299.2956965,0.04536113
"C02","2013-07-05",1,"elevated","12:17:41",10011.5,0,2,1,22.96009,0.365515201,275.3158481,2.736332806,0.82820862,24.91439247,6,1.420000017,1,2.840000033,22.53352547,24.91439247,20.95735168,420.1506348,391.3292847,19.96964455,23.17539597,73.41059113,85.19528198,500.2728271,1800.019653,1200.319336,100.7653351,3.267051697,0.145145386,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833788045,0.002736333,298.0643925,295.6835255,288.0031381,1.664548549,3.16348516,31.39457788,8.219181913,23.72395897,2.945671039,0.323836609,2.33527654,0.610394498,0.205770747,27.74229369,0.70354011,76.15436865,380.4151575,0.045963236
"C02","2013-07-05",1,"elevated","12:19:53",10144,0,2,1,30.45542167,0.323471708,439.1634403,2.534675229,0.85552907,24.9653492,6,1.420000017,1,2.840000033,22.53510094,24.9653492,20.95927429,650.1143799,611.7279053,20.03037071,23.00042343,73.62488556,84.54179382,500.2692261,1800.338989,1202.123413,100.7627411,2.697410583,0.158391923,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833782043,0.002534675,298.1153492,295.6851009,288.0542318,1.763717857,3.173114781,31.49095337,8.490529941,23.75022507,2.950331647,0.290396038,2.317585711,0.632745936,0.184205107,44.25131203,0.717906501,75.11714491,597.2508564,0.038304245
"C02","2013-07-05",1,"elevated","12:21:52",10263,0,2,1,34.40747055,0.268281881,721.9386544,2.242104276,0.896612868,25.00695038,6,1.420000017,1,2.840000033,22.5365696,25.00695038,20.95953941,999.6986694,955.8633423,20.04395866,22.67196083,73.66483307,83.32317352,500.289856,1800.265869,1196.749512,100.758049,0.980308533,0.180875748,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833816427,0.002242104,298.1569504,295.6865696,288.0425326,1.910899392,3.180995408,31.57063321,8.898672379,23.77175999,2.954157574,0.245125948,2.284382541,0.669775033,0.155128449,72.74113032,0.755273921,73.52834023,939.5076787,0.026928191
"C02","2013-07-05",1,"elevated","12:24:16",10406.5,0,2,1,35.55121131,0.211401008,854.1763602,1.908015856,0.950756589,25.04294395,6,1.420000017,1,2.840000033,22.52170563,25.04294395,20.95298767,1201.113892,1155.835571,19.96581078,22.20313263,73.44149017,81.67118073,500.3263855,1799.875122,1186.783691,100.7547455,-0.328773499,0.192937821,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833877309,0.001908016,298.192944,295.6717056,287.9800131,2.077769116,3.187827566,31.63947813,9.4363455,23.78232479,2.956036119,0.19675515,2.237070977,0.718965142,0.124208966,86.06232177,0.739012003,71.47368896,1138.936228,0.022310083
"C02","2013-07-05",1,"elevated","12:26:18",10528.5,0,2,1,35.94528613,0.170704006,1080.26426,1.623305978,0.988531761,25.04361534,6,1.420000017,1,2.840000033,22.51724815,25.04361534,20.95979309,1500.737671,1454.795654,19.92572403,21.83008003,73.31186676,80.31848145,500.2853699,1800.448853,1180.343994,100.7519608,-2.674476624,0.203557938,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83380895,0.001623306,298.1936153,295.6672482,288.07181,2.226915377,3.187955128,31.64161872,9.811538692,23.78043175,2.955699437,0.161025254,2.199423367,0.75627607,0.101467796,108.8387423,0.74255395,69.94629765,1437.708987,0.017487821
"C02","2013-07-05",1,"elevated","12:28:23",10654,0,2,1,36.78965363,0.141269489,1292.860835,1.413422568,1.030039122,25.10016251,6,1.420000017,1,2.840000033,22.53032684,25.10016251,20.95713425,1799.791748,1752.69812,19.86533928,21.52399826,73.03470612,79.13275146,500.2836914,1800.168213,1172.610107,100.7561798,-5.241859436,0.209363908,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833806152,0.001413423,298.2501625,295.6803268,288.0269076,2.329922069,3.198714961,31.74708456,10.2230863,23.81524467,2.961896357,0.134575338,2.168675839,0.793220518,0.084686444,130.2637188,0.737640339,68.4848195,1735.210081,0.014520045
"C03","2013-07-05",1,"ambient","12:15:00",674.5,0,3,0,25.7093116,0.372859098,258.4184672,4.276580252,1.27417364,25.30730057,6,1.420000017,1,2.840000033,24.10260201,25.30730057,23.64940643,420.589325,387.7388916,14.45314312,19.48648071,48.34502792,65.18128967,499.8565674,1800.027954,80.43556976,100.7994843,4.815289021,0.057858706,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833094279,0.00427658,298.4573006,297.252602,288.0044662,1.014743332,3.238400846,32.1271569,12.64067618,24.70495129,3.124173391,0.329588011,1.964227206,1.159946185,0.209487277,26.04844822,0.666475489,64.29906524,375.5179162,0.04402146
"C03","2013-07-05",1,"ambient","12:15:14",688.5,0,3,0,25.49484505,0.370672555,258.9797614,4.267606492,1.278071836,25.32355309,6,1.420000017,1,2.840000033,24.01905251,25.32355309,23.21088791,420.5514526,387.9507446,14.45503712,19.47951317,48.59294891,65.48353577,499.690979,1799.942993,80.86810303,100.7962036,4.815289021,0.057858706,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832818298,0.004267606,298.4735531,297.1690525,287.9908725,1.005847935,3.241532812,32.15927481,12.67976164,24.6713028,3.117897598,0.327878362,1.963460976,1.154436623,0.208382279,26.10417676,0.667558356,64.19961573,375.8317163,0.043550323
"C03","2013-07-05",1,"ambient","12:15:28",702.5,0,3,0,25.58642227,0.375182765,259.8255448,4.254775821,1.260825734,25.22378731,6,1.420000017,1,2.840000033,23.84723473,25.22378731,23.25515175,420.5112305,387.8242493,14.45327759,19.4601326,49.0917511,66.09794617,499.9518433,1799.454834,80.7558136,100.7970123,4.815289021,0.057858706,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833253072,0.004254776,298.3737873,296.9972347,287.912767,1.002300934,3.22234896,31.96869516,12.50856256,24.53551102,3.09268284,0.331402328,1.961523225,1.131159615,0.210660137,26.18963864,0.669956933,64.52610367,375.6616895,0.043948909
"C03","2013-07-05",1,"ambient","12:15:42",716.5,0,3,0,25.59313626,0.374992741,259.692451,4.251432426,1.260389563,25.21884155,6,1.420000017,1,2.840000033,23.82125664,25.21884155,23.25804138,420.4733887,387.7743225,14.45149326,19.4553318,49.16173172,66.18401337,499.8625793,1799.140259,81.76165771,100.7955551,4.815289021,0.057858706,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833104299,0.004251432,298.3688416,296.9712566,287.862435,1.000655462,3.221400532,31.95974791,12.50441611,24.5200491,3.089823098,0.331254056,1.961010969,1.128812129,0.210564279,26.17584476,0.669699967,64.5260888,375.6085713,0.043966648
"C03","2013-07-05",1,"ambient","12:15:56",730,0,3,1,25.71830704,0.373592667,258.6508037,4.239918791,1.261133024,25.21654892,6,1.420000017,1,2.840000033,23.74903107,25.21654892,23.01130676,420.5765381,387.7316589,14.45329762,19.44381714,49.38143921,66.43215179,499.8451843,1798.957764,82.13608551,100.7944031,4.815289021,0.057858706,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833075307,0.004239919,298.3665489,296.8990311,287.8332358,0.996986521,3.220960966,31.95575218,12.51193504,24.48278999,3.082941378,0.330161064,1.959827942,1.123113436,0.209857702,26.07055336,0.667087141,64.48513641,375.5064075,0.044165652
"C03","2013-07-05",1,"ambient","12:21:05",1038.5,0,3,1,26.11912675,0.395977084,261.7393195,4.274974168,1.208358381,24.97300911,6,1.420000017,1,2.840000033,23.19630623,24.97300911,22.48171806,419.4762878,386.140625,14.47420311,19.5058918,51.13230133,68.90750122,499.8226929,1799.440186,86.17012787,100.8006287,4.685863972,0.035266161,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833037821,0.004274974,298.1230091,296.3463062,287.9104233,0.939255356,3.174564537,31.49349939,11.98760759,24.08465767,3.010238971,0.347522523,1.966206156,1.044032815,0.22109062,26.38348795,0.677834194,65.7198651,373.7248431,0.04593073
"C03","2013-07-05",1,"ambient","12:23:35",1188.5,0,3,1,-0.473369702,0.429002916,51.08189096,4.412558762,1.162942015,24.8637619,6,1.420000017,1,2.840000033,23.14471436,24.8637619,22.48291969,49.72442245,50.02766037,14.55999851,19.75209427,51.59545135,69.9943924,499.844574,1800.338501,85.59346008,100.7994614,4.88655901,0.013919115,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83307429,0.004412559,298.0137619,296.2947144,288.0541537,0.877120879,3.153942478,31.28927908,11.53718481,24.00423813,2.995737038,0.372703333,1.991000463,1.004736575,0.23741844,5.149027095,1.021072954,67.12735109,50.25267766,-0.006323256
"C03","2013-07-05",1,"ambient","12:26:05",1338.5,0,3,1,3.810524055,0.490340895,78.18456443,4.785894209,1.124003604,24.86549187,6,1.420000017,1,2.840000033,23.42938805,24.86549187,22.87639427,99.11438751,93.99983978,14.51243973,20.14211464,50.54906845,70.15809631,499.7975464,1798.90625,82.92705536,100.7969894,5.153336048,0.001086473,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832995911,0.004785894,298.0154919,296.579388,287.8249936,0.716946894,3.154268121,31.29327709,11.15116245,24.14743996,3.021603031,0.418145826,2.030264517,0.991338514,0.266992014,7.880768715,0.831752103,68.81010355,92.18849914,0.028442003
